Laptop,Status,Brand,Model,CPU,RAM,Storage,GPU,Screen,Touch,Final Price
"Lenovo V15 Gen 2 ALC AMD Ryzen 3 5300U/8GB/512GB SSD/15.6""",New,Lenovo,V15,AMD Ryzen 3,8,512,,15.6,No,399
"Thomson Neo Intel Core i5-8259U/8GB/512GB SSD/15.6""",New,Thomson,Neo,Intel Core i5,8,512,,15.6,No,399
LenovoThinkPad T4601366x768,New,Lenovo,ThinkPad T460,Intel Core i5,4GB,508GB Hybrid,INTEL,14,No,1072.14
"Asus VivoBook S433EA-AM423T Intel Core i5-1135G7/8GB/512GB SSD/14""",Refurbished,Asus,VivoBook,Intel Core i5,8,512,,14,No,699
"MSI Creator Pro Z17 A12UKST-203ES Intel Core i7-12700H/32GB/1TB SSD/RTX A3000/17"" Táctil",Refurbished,MSI,Creator,Intel Core i7,32,1000,RTX A3000,17,Yes,2049
HPProBook 450Full HD 1920x1080,New,HP,ProBook 450,Intel Core i5,8GB,256GB SSD,OTHER,15.6,No,940.53
AcerAspire 5IPS Panel Full HD 1920x1080,New,Acer,Aspire 5,Intel Core i3,4GB,1TB HDD,OTHER,17.3,No,700.85
"MSI Prestige 15 A11SCX-019XES Intel Core i7-1185G7/16GB/512GB SSD/GTX 1650/15.6""",Refurbished,MSI,Prestige,Intel Core i7,16,512,GTX 1650,15.6,No,1529
"MSI Creator Z16 HX Studio B13VETO-047XES Intel Core i7-13700HX/32GB/1TB SSD/RTX 4050/16"" Táctil",New,MSI,Creator,Intel Core i7,32,1000,RTX 4050,16,Yes,2499
DellLatitude 5580Full HD 1920x1080,New,Dell,Latitude 5580,Intel Core i5,8GB,128GB SSD,INTEL,15.6,No,1011.15
"Gigabyte AORUS 15P KB-7ES1130SD Intel Core i7-10750/16GB/512GB SSD/RTX 2060/15.6""",Refurbished,Gigabyte,Aorus,Intel Core i7,16,512,RTX 2060,15.6,No,935.69
"HP ChromeBook 14b-na0013ns AMD Athlon Silver 3050C/4GB/64GB eMMC/14""",New,HP,Chromebook,AMD Athlon,4,64,,14,No,419
"Asus Rog Zephyrus M15 GU502LV-AZ057T Intel Core i7-10750H/16GB/512GB SSD/RTX2060/15.6""",Refurbished,Asus,ROG,Intel Core i7,16,512,RTX 2060,15.6,No,1067.29
LenovoIdeapad 700-15ISKIPS Panel Full HD 1920x1080,New,Lenovo,Ideapad 700-15ISK,Intel Core i5,4GB,1TB HDD,OTHER,15.6,No,1045.39
HPSpectre x360IPS Panel 4K Ultra HD / Touchscreen 3840x2160,New,HP,Spectre x360,Intel Core i7,16GB,1TB SSD,INTEL,13.3,Yes,2620.4300000000003
DellInspiron 5570Full HD 1920x1080,New,Dell,Inspiron 5570,Intel Core i7,8GB,256GB SSD,AMD,15.6,No,930.9
DellInsprion 57671600x900,New,Dell,Insprion 5767,Intel Core i3,4GB,1TB HDD,AMD,17.3,No,705.13
"Dell XPS 15 9520 Intel Core i7-12700H/32GB/1TB SSD/RTX3050 Ti/15.6"" Táctil",Refurbished,Dell,XPS,Intel Core i7,32,1000,RTX 3050,15.6,Yes,2118.09
DellVostro 35681366x768,New,Dell,Vostro 3568,Intel Core i3,4GB,1TB HDD,AMD,15.6,No,497.55
"MSI Pulse GL66 12UGSZOK-1204XES Intel Core i7-12700H/16GB/1TB SSD/RTX 3070Ti/15.6""",Refurbished,MSI,Pulse,Intel Core i7,16,1000,RTX 3070,15.6,No,2099
"MSI Creator 15 A10SF-018ES Intel Core i7-10875H/32GB/1TB SSD/RTX 2070/15.6"" 4K",Refurbished,MSI,Creator,Intel Core i7,32,1000,RTX 2070,15.6,No,1592.89
LenovoThinkpad T470Full HD 1920x1080,New,Lenovo,Thinkpad T470,Intel Core i5,8GB,180GB SSD,INTEL,14,No,1459.48
"Dynabook Toshiba Tecra A50-K-14S Intel Core i7-1260P/16GB/512GB SSD/15.6""",New,Dynabook Toshiba,Tecra,Intel Core i7,16,512,,15.6,No,1637
HPProbook 450Full HD 1920x1080,New,HP,Probook 450,Intel Core i5,4GB,500GB HDD,INTEL,15.6,No,973.7
PcCom Revolt 3050 Intel Core i7-13700H/16GB/1TB SSD/RTX 3050/15.6”,New,PcCom,Revolt,Intel Core i7,16,1000,RTX 3050,15.6,No,1449.9
HPEliteBook x360Full HD / Touchscreen 1920x1080,New,HP,EliteBook x360,Intel Core i7,8GB,256GB SSD,INTEL,13.3,Yes,2738.13
"MSI Creator Pro M15 A11UIS-846XES Intel Core i7-11800H/16GB/512GB SSD/RTX A1000/15.6""",Refurbished,MSI,Creator,Intel Core i7,16,512,RTX A1000,15.6,No,1399
AcerAspire 51366x768,New,Acer,Aspire 5,AMD A12,8GB,256GB SSD,AMD,15.6,No,705.13
LenovoIdeaPad 320-15IAP1366x768,New,Lenovo,IdeaPad 320-15IAP,Intel Celeron,4GB,1TB HDD,INTEL,15.6,No,327.42
"HP OMEN 16-b0046ns Intel Core i7-11800H/32GB/1TB SSD/RTX 3060/16.1""",Refurbished,HP,Omen,Intel Core i7,32,1000,RTX 3060,16.1,No,1198.64
"ASUS ROG Strix Scar 16 2023 G634JZ-N4004 Intel Core i9-13980HX/32GB/1TB SSD/RTX 4080/16""",New,Asus,ROG,Intel Core i9,32,1000,RTX 4080,16,No,3099
DellXPS 13Quad HD+ / Touchscreen 3200x1800,New,Dell,XPS 13,Intel Core i7,16GB,512GB SSD,INTEL,13.3,Yes,2396.8
PcCom Revolt 4060 Intel Core i7-13700H/16GB/1TB SSD/RTX 4060/15.6,New,PcCom,Revolt,Intel Core i7,16,1000,RTX 4060,15.6,No,1799.9
"MSI Alpha 15 A4DEK-006XES AMD Ryzen 7 4800H/16GB/512GB SSD/RX 5600M/15.6""",Refurbished,MSI,Alpha,AMD Ryzen 7,16,512,,15.6,No,711.94
"Acer Aspire 3 A315-34 Intel Celeron N4020/8 GB/256GB SSD/15.6""",New,Acer,Aspire,Intel Celeron,8,256,INTEL,15.6,No,306.99
"HP 15s-fq4108ns i7-1195G7 Intel Core i7-1195G7/8GB/512GB SSD/15.6""",New,HP,15S,Intel Core i7,8,512,,15.6,No,630.72
Lenovo Legion 5 15ACH6-990 AMD Ryzen 7 5800H/16GB/512GB SSD/RTX3070/15.6'' (PT),Refurbished,Lenovo,Legion,AMD Ryzen 7,16,512,RTX 3070,15.6,No,1180.29
"Asus Chromebook C204MA-GJ0342 Intel Celeron N4020/4GB/32GB eMMC/11.6""",New,Asus,Chromebook,Intel Celeron,4,32,,11.6,No,239.25
"ASUS ROG Strix G15 G513RM-HQ262 AMD Ryzen 7 6800H/16GB/1TB SSD/RTX 3060/15.6""",Refurbished,Asus,ROG,AMD Ryzen 7,16,1000,RTX 3060,15.6,No,1299
Dell Laptop,New,Dell,Notebook,Intel Core i5,8,256,INTEL,14,No,1813
HP15-AC110nv (i7-6500U/6GB/1TB/Radeon1366x768,New,HP,15-AC110nv (i7-6500U/6GB/1TB/Radeon,Intel Core i7,6GB,1TB HDD,AMD,15.6,No,817.48
HP15-BW037na (A9-9420/4GB/1TB/RadeonFull HD 1920x1080,New,HP,15-BW037na (A9-9420/4GB/1TB/Radeon,,4GB,1TB HDD,AMD,15.6,No,523.23
LenovoB51-80 (i5-6200U/8GB/1TB/RadeonFull HD 1920x1080,New,Lenovo,B51-80 (i5-6200U/8GB/1TB/Radeon,Intel Core i5,8GB,1TB HDD,AMD,15.6,No,640.9300000000001
"Lenovo ThinkBook 14s Yoga G2 Intel Core i7-1255U/16GB/512GB SSD/14"" Táctil",New,Lenovo,ThinkBook,Intel Core i7,16,512,INTEL,14,Yes,1473.83
LenovoThinkPad E570IPS Panel Full HD 1920x1080,New,Lenovo,ThinkPad E570,Intel Core i5,8GB,1TB HDD,INTEL,15.6,No,910.2062
"Lenovo ThinkPad T14s Gen 2 Intel Core i5-1135G7/16GB/512GB SSD/14""",Refurbished,Lenovo,ThinkPad,Intel Core i5,16,512,,14,No,1901.48
"MSI Pulse GL76 12UEK-245XES Intel Core i9-12900H/32GB/1TB SSD/RTX 3060/17.3""",Refurbished,MSI,Pulse,Intel Core i9,32,1000,RTX 3060,17.3,No,1999
LenovoYoga 500-14ISKIPS Panel Full HD / Touchscreen 1920x1080,New,Lenovo,Yoga 500-14ISK,Intel Core i7,4GB,128GB SSD,INTEL,14,Yes,682.6600000000001
"Lenovo IdeaPad 1 15ADA7 AMD 3020e/4GB/256GB SSD/15.6""",New,Lenovo,IdeaPad,AMD 3020e,4,256,,15.6,No,321.99
HPZbook 17IPS Panel Full HD 1920x1080,New,HP,Zbook 17,,16GB,256GB SSD,OTHER,17.3,No,4696.2300000000005
Asus TUF Gaming A15 FA507RR AMD Ryzen 7 6800H/16GB/512GB SSD/RTX 3070/15.6'' (PT),New,Asus,TUF,AMD Ryzen 7,16,512,RTX 3070,15.6,No,1454.12
"Microsoft Surface Pro 7 Intel Core i5-1035G4/8GB/256 GB SSD/12.3"" Platino",Refurbished,Microsoft,Surface Pro,Intel Core i5,8,256,,12.3,No,866
"ASUS P1512CEA-EJ0213X Intel Core i5-1135G7/8GB/256GB SSD/15.6""",New,Asus,ExpertBook,Intel Core i5,8,256,,15.6,No,609
"ASUS F1500EA-EJ2369W Intel Core i7-1165G7/8GB/512GB SSD/15.6""",New,Asus,VivoBook,Intel Core i7,8,512,INTEL,15.6,No,849
"Asus Rog Strix G15 G513QY-HQ008 AMD Ryzen 9 5900HX/16GB/1TB SSD/RX6800M/15.6""",Refurbished,Asus,ROG,AMD Ryzen 9,16,1000,,15.6,No,1248.59
"HP EliteBook 850 G5 i5-8250U/8GB/256GB SSD/15.6""",Refurbished,HP,EliteBook,Intel Core i5,8,256,,15.6,No,899.01
"MSI Prestige 14 A11SCS-038ES Intel Core i7-1185G7/16GB/1TB SSD/GTX 1650Ti/14""",Refurbished,MSI,Prestige,Intel Core i7,16,1000,GTX 1650,14,No,1124.79
Lenovo Laptop,New,Lenovo,Ultrabook,Intel Core i5,8,256,INTEL,14,No,1904
"ASUS ExpertBook B1 B1402CBA-EB0821X Intel Core i7-1255U/16GB/512GB SSD/14""",New,Asus,ExpertBook,Intel Core i7,16,512,,14,No,1189
"Gigabyte AORUS 15P XC-8ES2430SH Intel Core i7-10870H/32GB/512GB SSD/RTX 3070/15.6""",Refurbished,Gigabyte,Aorus,Intel Core i7,32,512,RTX 3070,15.6,No,1300.94
AsusVivoBook E201NA1366x768,New,Asus,VivoBook E201NA,Intel Celeron,4GB,64GB Flash Storage,INTEL,11.6,No,363.8
DellLatitude 34801366x768,New,Dell,Latitude 3480,Intel Core i3,4GB,500GB HDD,INTEL,14,No,625.95
"Lenovo Legion 5 15IAH7H Intel Core i7-12700H/16GB/512GB SSD/RTX3060/15.6""",New,Lenovo,Legion,Intel Core i7,16,512,RTX 3060,15.6,No,1599
"HP 15S-FQ3001NS Intel Celeron N4500/4GB/128GB SSD/15.6""",New,HP,15S,Intel Celeron,4,128,,15.6,No,395.4
"Lenovo V15 G2 ITL Intel Core i7-1165G7/8GB/512GB SSD/15.6""",New,Lenovo,V15,Intel Core i7,8,512,,15.6,No,709
"HP OMEN 17-CB1005NS Intel Core i7-10750H/32GB/1TB SSD/RTX 2080 SUPER/17.3""",Refurbished,HP,Omen,Intel Core i7,32,1000,RTX 2080,17.3,No,1297.04
"HP EliteBook x360 830 G8 Intel Core i5-1135G7/8GB/512GB SSD/13.3"" Táctil",New,HP,EliteBook,Intel Core i5,8,512,,13.3,Yes,1051.96
PcCom Revolt 4060 Intel Core i7-13700H/32GB/1TB SSD/RTX 4060/15.6,New,PcCom,Revolt,Intel Core i7,32,1000,RTX 4060,15.6,No,1899.9
MSIGL62M (i5-7300HQ/8GB/1TBFull HD 1920x1080,New,MSI,GL62M (i5-7300HQ/8GB/1TB,Intel Core i5,8GB,128GB SSD +  1TB HDD,OTHER,15.6,No,1165.23
DellInspiron 35521366x768,New,Dell,Inspiron 3552,Intel Pentium,4GB,500GB HDD,INTEL,15.6,No,394.83
"HP ZBook Studio G9 Intel Core i7-12700H/32GB/512GB SSD/RTX 3060/16""",New,HP,Zbook,Intel Core i7,32,512,RTX 3060,16,No,3637.71
"HP Victus 16-d0031ns Intel Core i5-11400H/16GB/512GB SSD/GTX 1650/16.1""",Refurbished,HP,Victus,Intel Core i5,16,512,GTX 1650,16.1,No,624.78
"MSI Raider GE66 12UGS-006ES Intel Core i7-12700H/32GB/1TB SSD/RTX 3070Ti/15.6""",Refurbished,MSI,Raider,Intel Core i7,32,1000,RTX 3070,15.6,No,2799
AcerNitro AN515-51IPS Panel Full HD 1920x1080,New,Acer,Nitro AN515-51,Intel Core i5,8GB,256GB SSD,OTHER,15.6,No,905.22
AsusVivoBook S15Full HD 1920x1080,New,Asus,VivoBook S15,Intel Core i7,8GB,256GB SSD,OTHER,15.6,No,1123.3930000000005
"Lenovo 300e Intel Celeron N4120/4GB/128GB SSD/11.6"" Táctil",New,Lenovo,Chromebook,Intel Celeron,4,128,,11.6,Yes,451
LenovoV310-15ISK (i3-6006U/4GB/1TB/FHD/W10)Full HD 1920x1080,New,Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Intel Core i3,4GB,1TB HDD,INTEL,15.6,No,480.43
"Asus ROG Strix SCAR 17 G733QR-K4008T AMD Ryzen 9 5900HX/32GB/1TB SSD/RTX 3070/17.3""",Refurbished,Asus,ROG,AMD Ryzen 9,32,1000,RTX 3070,17.3,No,1931.64
"HP ProBook 450 G8 Intel Core i7-1165G7/16GB/512GB SSD/15.6""",Refurbished,HP,ProBook,Intel Core i7,16,512,INTEL,15.6,No,1603.1
DellInspiron 5567Full HD 1920x1080,New,Dell,Inspiron 5567,Intel Core i7,16GB,256GB SSD,AMD,15.6,No,1263.9589
SamsungNotebook 9Full HD 1920x1080,New,Samsung,Notebook 9,Intel Core i7,16GB,256GB SSD,OTHER,15,No,1978.43
"Lenovo ThinkPad P15v Gen 3 Intel Core i7-12700H/16GB/512GB SSD/Quadro T600/15.6""",New,Lenovo,ThinkPad,Intel Core i7,16,512,T 600,15.6,No,2260.99
HPProBook 470Full HD 1920x1080,New,HP,ProBook 470,Intel Core i5,8GB,128GB SSD +  1TB HDD,OTHER,17.3,No,1045.39
"Gigabyte AORUS 5 KE4-72ES314SO Intel Core i7-12700H/16GB/1TB SSD/RTX 3060/15.6""",Refurbished,Gigabyte,Aorus,Intel Core i7,16,1000,RTX 3060,15.6,No,1699
"ASUS ExpertBook B3 Flip B3402FBA-EC0434X Intel Core i5-1235U/8GB/256GB SSD/14"" Táctil",New,Asus,ExpertBook,Intel Core i5,8,256,,14,Yes,1179
"ASUS F515EA-EJ2198W Intel Core i7-1165G7/16GB/512GB SSD/15.6""",Refurbished,Asus,F515,Intel Core i7,16,512,,15.6,No,749
"MSI Raider GE66 12UGS-006ES Intel Core i7-12700H/32GB/1TB SSD/RTX 3070Ti/15.6""",Refurbished,MSI,Raider,Intel Core i7,32,1000,RTX 3070,15.6,No,2799
"HP EliteBook 850 G8 Intel Core i5-1135G7/8GB/256GB SSD/15.6""",New,HP,EliteBook,Intel Core i5,8,256,,15.6,No,1015.01
HPPavilion 15-cb003nvIPS Panel Full HD 1920x1080,New,HP,Pavilion 15-cb003nv,Intel Core i7,8GB,1TB HDD,OTHER,15.6,No,961.93
HPZBook 15uFull HD 1920x1080,New,HP,ZBook 15u,Intel Core i7,8GB,256GB SSD,AMD,15.6,No,1599.65
Acer Laptop,New,Acer,Notebook,Intel Core i3,8,128,INTEL,14,No,786
"Innjoo Voom Intel Celeron N3350/4GB/64GB eMMC/14.1""",New,Innjoo,Voom,Intel Celeron,4,64,,14.1,No,251.4
"ASUS ExpertBook P1512CEA-EJ0286X Intel Core i7-1165G7/16GB/512GB SSD/15.6""",New,Asus,ExpertBook,Intel Core i7,16,512,INTEL,15.6,No,937.54
"MSI Raider GE76 Deluxe Edition 12UGS-279ES Intel Core i9-12900HK/64GB/2TB SSD/RTX 3070Ti/17.3""",Refurbished,MSI,Raider,Intel Core i9,64,2000,RTX 3070,17.3,No,3799
"Lenovo ThinkBook 15p Intel Core i5-10300H/16GB/512GB SSD/GTX 1650/15.6""",Refurbished,Lenovo,ThinkBook,Intel Core i5,16,512,GTX 1650,15.6,No,1350.05
"HP Victus 16-d0031ns Intel Core i5-11400H/16GB/512GB SSD/GTX 1650/16.1""",Refurbished,HP,Victus,Intel Core i5,16,512,GTX 1650,16.1,No,624.78
"Dell Latitude 3410 Intel Core i7-10510U/8GB/256GB SSD/14""",New,Dell,Latitude,Intel Core i7,8,256,,14,No,1177.9
MSIGL72M 7RDXFull HD 1920x1080,New,MSI,GL72M 7RDX,Intel Core i5,8GB,128GB SSD +  1TB HDD,OTHER,17.3,No,1171.65
LenovoThinkPad 131366x768,New,Lenovo,ThinkPad 13,Intel Celeron,4GB,16GB Flash Storage,INTEL,13.3,No,492.093
DellVostro 35681366x768,New,Dell,Vostro 3568,Intel Core i3,4GB,1TB HDD,INTEL,15.6,No,597.7020000000001
HPEliteBook 820Full HD 1920x1080,New,HP,EliteBook 820,Intel Core i5,8GB,256GB SSD,INTEL,12.5,No,1282.93
"MSI Summit E13 FlipEvo A12MT-030ES Intel Core i7-1280P/32GB/1TB SSD/13.4"" Táctil",New,MSI,Summit,Intel Core i7,32,1000,,13.4,Yes,1899
"HP EliteBook 840 G5 Intel Core i7-8550U/16GB/512GB SSD/14""",Refurbished,HP,EliteBook,Intel Core i7,16,512,INTEL,14,No,588
Lenovo Laptop,New,Lenovo,Notebook,Intel Core i3,4,128,INTEL,14,No,761
"HP Victus 15-fa0023np Intel Core i5-12450H/16GB/512GB SSD/RTX 3050/15.6"" (PT)",New,HP,Victus,Intel Core i5,16,512,RTX 3050,15.6,No,1049.99
"Asus Rog Zephyrus G14 GA401IU-HE002 AMD Ryzen 7 4800HS APU/16GB/1TB SSD/GTX1660Ti/14""",Refurbished,Asus,ROG,AMD Ryzen 7,16,1000,GTX 1660,14,No,854.59
"PcCom Revolt One 3070 Intel Core i7-11800H/16GB/1TB SSD/RTX 3070/17.3""",Refurbished,PcCom,Revolt,Intel Core i7,16,1000,RTX 3070,17.3,No,1949
"Dynabook Toshiba Satellite Pro C50-G-10E Intel Core i5-10210U/8GB/512GB SSD/15.6""",New,Dynabook Toshiba,Satellite Pro,Intel Core i5,8,512,,15.6,No,739
LenovoLegion Y720-15IKBIPS Panel Full HD 1920x1080,New,Lenovo,Legion Y720-15IKB,Intel Core i7,8GB,256GB SSD +  1TB HDD,OTHER,15.6,No,1496.93
"Dell Vostro 5301 Intel Core i5-1135G7/8GB/512GB SSD/13.3""",Refurbished,Dell,Vostro,Intel Core i5,8,512,INTEL,13.3,No,511.59
LenovoV330-15IKB (i3-7130U/4GB/128GB/FHD/W10)Full HD 1920x1080,New,Lenovo,V330-15IKB (i3-7130U/4GB/128GB/FHD/W10),Intel Core i3,4GB,128GB SSD,INTEL,15.6,No,674.1
"Lenovo ThinkPad X1 Extreme Gen 4 Intel Core i7-11800H/16GB/512GB SSD/RTX 3050 Ti/16""",Refurbished,Lenovo,ThinkPad,Intel Core i7,16,512,RTX 3050,16,No,2228.08
"HP Victus 16-d1038ns Intel Core i7-12700H/16GB/512GB SSD/RTX 3050/16.1""",New,HP,Victus,Intel Core i7,16,512,RTX 3050,16.1,No,1149
"Dell Latitude 3520 Intel Core i5-1135G7/8 GB/256GB SSD/15.6""",New,Dell,Latitude,Intel Core i5,8,256,,15.6,No,879
"Microsoft Surface Laptop Studio Intel Core i7-11370H/16GB/512GB SSD/RTX 3050 Ti/14.4"" Táctil Platino",New,Microsoft,Surface Laptop,Intel Core i7,16,512,RTX 3050,14.4,Yes,2264.55
AsusX555QG-DM242T (A10-9620P/4GB/1TBFull HD 1920x1080,New,Asus,X555QG-DM242T (A10-9620P/4GB/1TB,,4GB,128GB SSD +  1TB HDD,AMD,15.6,No,615.25
"Lenovo ThinkBook 15 G2 ITL Intel Core i5-1135G7/8GB/256GB SSD/15.6""",New,Lenovo,ThinkBook,Intel Core i5,8,256,INTEL,15.6,No,1000.27
Asus Laptop,New,Asus,Notebook,Intel Core i5,8,256,NVDIA,15.6,No,977
Lenovo Laptop,New,Lenovo,Gaming,Intel Core i7,16,256,NVDIA,15,No,1371
AsusX541NA-GO414T (N3350/8GB/1TB/W10)1366x768,New,Asus,X541NA-GO414T (N3350/8GB/1TB/W10),Intel Celeron,8GB,1TB HDD,INTEL,15.6,No,426.93
"Acer Aspire 3 A315-59-37GX Intel Core i3-1215U/8GB/256GB SSD/15.6""",New,Acer,Aspire,Intel Core i3,8,256,INTEL,15.6,No,539.01
"ASUS Vivobook M1503IA AMD Ryzen 7 4800H/16GB/512GB SSD/15.6"" (PT)",New,Asus,VivoBook,AMD Ryzen 7,16,512,,15.6,No,1035.84
"Acer Aspire 3 A315-56-566L Intel Core i5-1035G1/8GB/256GB SSD/15.6""",New,Acer,Aspire,Intel Core i5,8,256,,15.6,No,529
DellInspiron 7567Full HD 1920x1080,New,Dell,Inspiron 7567,Intel Core i7,8GB,1TB HDD,OTHER,15.6,No,1282.93
"Microsoft Surface Pro 7+ Intel Evo Core i7-1165G7/16GB/1TB SSD/12.3"" Táctil Platino",New,Microsoft,Surface Pro,Intel Evo Core i7,16,1000,INTEL,12.3,Yes,2842.5
Dell Laptop,New,Dell,Workstation,Intel Core i7,8,256,NVDIA,15,No,2712
